language,problem
C,"Hello, World"
C,DNA
C,"Hello, World"
C,Speller
C,Cash
C,Readability
C,Scratch
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,"Hello, World"
C,Speller
C,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Speller
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,Scratch
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,DNA
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Tideman
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Cash
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Python,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,Readability
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
Scratch,"Hello, World"
